Datum;Closing
01.11.2019;165
02.11.2019;164
03.11.2019;165
04.11.2019;162
05.11.2019;168
06.11.2019;175
07.11.2019;170
08.11.2019;169
09.11.2019;167
10.11.2019;171
11.11.2019;171
12.11.2019;168
13.11.2019;169
14.11.2019;169
15.11.2019;165
16.11.2019;164
17.11.2019;165
18.11.2019;166
19.11.2019;160
20.11.2019;159
21.11.2019;158
22.11.2019;145
23.11.2019;137
24.11.2019;136
25.11.2019;122
26.11.2019;135
27.11.2019;133
28.11.2019;138
29.11.2019;139
30.11.2019;140
