Datum;Closing
01.11.2019;58
02.11.2019;58
03.11.2019;57
04.11.2019;58
05.11.2019;62
06.11.2019;63
07.11.2019;62
08.11.2019;59
09.11.2019;60
10.11.2019;64
11.11.2019;65
12.11.2019;61
13.11.2019;60
14.11.2019;59
15.11.2019;57
16.11.2019;58
17.11.2019;60
18.11.2019;56
19.11.2019;55
20.11.2019;55
21.11.2019;49
22.11.2019;47
23.11.2019;48
24.11.2019;42
25.11.2019;46
26.11.2019;47
27.11.2019;48
28.11.2019;47
29.11.2019;49
30.11.2019;47
